type_of_food,number_of_guests,event_type,quantity_of_food,storage_conditions,purchase_history,seasonality,preparation_method,geographical_location,pricing,wastage_food_amount,food_per_guest,food_per_guest_category
Baked Goods,380,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,35,1.3157894736842106,Medium
Meat,380,Birthday,480,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30,1.263157894736842,Low
Meat,400,Wedding,500,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50,1.25,Low
Meat,320,Birthday,400,Refrigerated,Regular,All Seasons,Buffet,Suburban,High,30,1.25,Low
Vegetables,280,Wedding,350,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15,1.25,Low
Vegetables,320,Birthday,400,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,40,1.25,Low
Fruits,250,Social Gathering,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10,1.4,Medium
Vegetables,350,Corporate,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.2857142857142858,Low
Meat,250,Wedding,350,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,High,40,1.4,Medium
Vegetables,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Urban,Moderate,20,1.25,Low
Baked Goods,450,Birthday,500,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,30,1.1111111111111112,Low
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Urban,Low,10,1.4,Medium
Fruits,230,Wedding,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,Moderate,30,2.1739130434782608,High
Baked Goods,320,Birthday,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,1.25,Low
Baked Goods,442,Wedding,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,32,1.090497737556561,Low
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Finger Food,Suburban,High,35,1.4,Medium
Vegetables,310,Social Gathering,350,Refrigerated,Regular,Winter,Finger Food,Rural,High,35,1.1290322580645162,Low
Fruits,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Buffet,Rural,High,30,1.25,Low
Dairy Products,350,Corporate,450,Room Temperature,Regular,Summer,Finger Food,Urban,High,30,1.2857142857142858,Low
Meat,400,Social Gathering,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50,1.25,Low
Fruits,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35,1.25,Low
Vegetables,350,Wedding,450,Refrigerated,Occasional,Winter,Sit-down Dinner,Suburban,High,35,1.2857142857142858,Low
Meat,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Urban,Moderate,20,1.25,Low
Meat,350,Social Gathering,450,Refrigerated,Occasional,All Seasons,Finger Food,Rural,High,40,1.2857142857142858,Low
Baked Goods,302,Social Gathering,371,Room Temperature,Regular,Summer,Buffet,Suburban,Low,27,1.228476821192053,Low
Fruits,438,Corporate,493,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,35,1.1255707762557077,Low
Baked Goods,310,Corporate,350,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,35,1.1290322580645162,Low
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,40,1.25,Low
Fruits,300,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,1.3333333333333333,Medium
Baked Goods,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,1.25,Low
Dairy Products,400,Corporate,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,25,1.25,Low
Vegetables,250,Corporate,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,20,1.4,Medium
Fruits,350,Corporate,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,1.2857142857142858,Low
Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,1.3333333333333333,Medium
Fruits,350,Corporate,450,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Rural,Moderate,25,1.2857142857142858,Low
Baked Goods,380,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.3157894736842106,Medium
Dairy Products,250,Corporate,480,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20,1.92,High
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Suburban,High,30,1.3333333333333333,Medium
Fruits,250,Wedding,350,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,20,1.4,Medium
Fruits,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,1.25,Low
Baked Goods,300,Corporate,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,1.3333333333333333,Medium
Meat,300,Social Gathering,400,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,1.3333333333333333,Medium
Fruits,350,Social Gathering,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,45,1.2857142857142858,Low
Dairy Products,280,Corporate,350,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,20,1.25,Low
Fruits,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.3157894736842106,Medium
Dairy Products,240,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,20,1.875,High
Baked Goods,397,Wedding,482,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,31,1.2141057934508817,Low
Baked Goods,320,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,1.25,Low
Dairy Products,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,25,1.25,Low
Vegetables,400,Social Gathering,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,30,1.25,Low
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,15,1.3636363636363635,Medium
Dairy Products,350,Wedding,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Baked Goods,350,Corporate,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,1.2857142857142858,Low
Baked Goods,300,Social Gathering,400,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,1.3333333333333333,Medium
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,35,1.2857142857142858,Low
Dairy Products,250,Social Gathering,350,Room Temperature,Regular,Summer,Buffet,Rural,Moderate,20,1.4,Medium
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,1.4,Medium
Vegetables,400,Social Gathering,500,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,High,40,1.25,Low
Vegetables,290,Social Gathering,374,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,27,1.289655172413793,Low
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Low,25,1.25,Low
Vegetables,350,Corporate,450,Refrigerated,Regular,Summer,Buffet,Urban,High,40,1.2857142857142858,Low
Fruits,267,Wedding,480,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Low,30,1.797752808988764,High
Fruits,290,Birthday,374,Refrigerated,Occasional,Winter,Finger Food,Rural,Low,27,1.289655172413793,Low
Fruits,300,Wedding,450,Room Temperature,Regular,Summer,Finger Food,Urban,High,35,1.5,Medium
Meat,400,Wedding,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,50,1.25,Low
Fruits,250,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Rural,High,30,1.4,Medium
Vegetables,310,Birthday,350,Refrigerated,Regular,Summer,Finger Food,Rural,High,35,1.1290322580645162,Low
Meat,290,Social Gathering,374,Refrigerated,Regular,Summer,Finger Food,Rural,Low,27,1.289655172413793,Low
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,40,1.4,Medium
Baked Goods,220,Wedding,300,Room Temperature,Regular,Summer,Buffet,Suburban,Low,10,1.3636363636363635,Medium
Meat,400,Birthday,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,High,45,1.25,Low
Vegetables,250,Corporate,350,Refrigerated,Occasional,Summer,Buffet,Suburban,Low,10,1.4,Medium
Vegetables,350,Corporate,450,Refrigerated,Regular,Summer,Finger Food,Urban,High,30,1.2857142857142858,Low
Meat,300,Birthday,400,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Low,20,1.3333333333333333,Medium
Meat,250,Birthday,350,Refrigerated,Regular,Winter,Finger Food,Suburban,Moderate,20,1.4,Medium
Meat,261,Wedding,350,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,23,1.3409961685823755,Medium
Meat,400,Wedding,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,High,30,1.25,Low
Vegetables,350,Wedding,450,Refrigerated,Regular,Winter,Sit-down Dinner,Urban,High,40,1.2857142857142858,Low
Fruits,320,Social Gathering,400,Room Temperature,Regular,Summer,Buffet,Rural,High,30,1.25,Low
Fruits,300,Wedding,400,Refrigerated,Regular,Winter,Sit-down Dinner,Rural,Moderate,15,1.3333333333333333,Medium
Vegetables,280,Birthday,350,Room Temperature,Regular,Summer,Finger Food,Rural,Low,15,1.25,Low
Meat,220,Wedding,300,Refrigerated,Occasional,Winter,Finger Food,Suburban,Moderate,23,1.3636363636363635,Medium
Vegetables,300,Corporate,400,Refrigerated,Regular,Winter,Finger Food,Rural,Moderate,15,1.3333333333333333,Medium
Meat,250,Wedding,350,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,1.4,Medium
Baked Goods,280,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,1.25,Low
Baked Goods,380,Social Gathering,400,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,25,1.0526315789473684,Low
Dairy Products,320,Corporate,400,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,1.25,Low
Baked Goods,350,Birthday,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Moderate,30,1.2857142857142858,Low
Dairy Products,230,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,30,2.1739130434782608,High
Baked Goods,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,High,40,1.2857142857142858,Low
Dairy Products,380,Social Gathering,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,Moderate,25,1.3157894736842106,Medium
Dairy Products,342,Social Gathering,405,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,29,1.1842105263157894,Low
Fruits,400,Wedding,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Suburban,High,40,1.25,Low
Vegetables,275,Wedding,388,Room Temperature,Regular,All Seasons,Finger Food,Rural,Low,16,1.410909090909091,Medium
Vegetables,220,Social Gathering,300,Refrigerated,Regular,Winter,Finger Food,Urban,Low,15,1.3636363636363635,Medium
Baked Goods,280,Wedding,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,25,1.4285714285714286,Medium
Vegetables,400,Corporate,500,Refrigerated,Occasional,Summer,Sit-down Dinner,Urban,High,40,1.25,Low
Baked Goods,220,Wedding,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,1.3636363636363635,Medium
Baked Goods,400,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,1.25,Low
Dairy Products,400,Wedding,500,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,Low,25,1.25,Low
Meat,350,Social Gathering,450,Refrigerated,Regular,Summer,Sit-down Dinner,Suburban,High,35,1.2857142857142858,Low
Dairy Products,300,Corporate,450,Room Temperature,Regular,Winter,Finger Food,Urban,High,35,1.5,Medium
Fruits,300,Corporate,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,High,35,1.5,Medium
Dairy Products,472,Social Gathering,489,Room Temperature,Regular,Summer,Buffet,Urban,Low,36,1.0360169491525424,Low
Fruits,397,Wedding,482,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,Moderate,31,1.2141057934508817,Low
Dairy Products,439,Birthday,459,Room Temperature,Regular,All Seasons,Buffet,Suburban,Low,39,1.0455580865603644,Low
Vegetables,220,Corporate,300,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Fruits,220,Birthday,300,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Dairy Products,300,Corporate,420,Room Temperature,Regular,All Seasons,Finger Food,Urban,Low,20,1.4,Medium
Baked Goods,400,Corporate,500,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,High,50,1.25,Low
Baked Goods,280,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,1.25,Low
Baked Goods,350,Wedding,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35,1.2857142857142858,Low
Baked Goods,350,Corporate,450,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,40,1.2857142857142858,Low
Dairy Products,400,Wedding,350,Room Temperature,Regular,Summer,Sit-down Dinner,Suburban,High,35,0.875,Low
Meat,350,Social Gathering,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,45,1.2857142857142858,Low
Fruits,250,Social Gathering,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,1.4,Medium
Baked Goods,350,Corporate,450,Refrigerated,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,1.2857142857142858,Low
Dairy Products,290,Social Gathering,374,Room Temperature,Regular,Winter,Finger Food,Rural,Low,27,1.289655172413793,Low
Dairy Products,400,Wedding,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Rural,High,35,0.875,Low
Dairy Products,280,Corporate,350,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,20,1.25,Low
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,25,1.25,Low
Meat,400,Wedding,500,Refrigerated,Occasional,Winter,Sit-down Dinner,Rural,High,45,1.25,Low
Baked Goods,320,Birthday,400,Room Temperature,Regular,Winter,Buffet,Rural,High,30,1.25,Low
Fruits,310,Corporate,450,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,25,1.4516129032258065,Medium
Vegetables,220,Wedding,300,Refrigerated,Occasional,Summer,Finger Food,Rural,Low,15,1.3636363636363635,Medium
Vegetables,367,Social Gathering,420,Refrigerated,Regular,Summer,Buffet,Urban,Low,40,1.1444141689373297,Low
Meat,350,Birthday,450,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,Moderate,25,1.2857142857142858,Low
Dairy Products,250,Wedding,500,Room Temperature,Regular,Winter,Buffet,Urban,High,40,2.0,High
Dairy Products,472,Corporate,489,Room Temperature,Regular,Winter,Buffet,Urban,Low,36,1.0360169491525424,Low
Baked Goods,250,Wedding,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10,1.4,Medium
Fruits,220,Social Gathering,450,Refrigerated,Regular,Summer,Finger Food,Rural,Low,20,2.0454545454545454,High
Vegetables,380,Corporate,480,Refrigerated,Regular,Summer,Buffet,Suburban,Moderate,30,1.263157894736842,Low
Meat,220,Corporate,300,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,15,1.3636363636363635,Medium
Fruits,400,Wedding,500,Room Temperature,Regular,Winter,Sit-down Dinner,Urban,High,40,1.25,Low
Fruits,380,Birthday,400,Room Temperature,Regular,Winter,Finger Food,Rural,Moderate,25,1.0526315789473684,Low
Baked Goods,250,Birthday,350,Room Temperature,Regular,Winter,Buffet,Rural,Moderate,20,1.4,Medium
Meat,350,Birthday,450,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Fruits,491,Birthday,497,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,32,1.0122199592668024,Low
Fruits,380,Birthday,480,Room Temperature,Occasional,Summer,Buffet,Suburban,Moderate,30,1.263157894736842,Low
Meat,292,Social Gathering,470,Refrigerated,Regular,Summer,Sit-down Dinner,Urban,High,50,1.6095890410958904,Medium
Vegetables,400,Birthday,500,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Low,25,1.25,Low
Baked Goods,300,Birthday,450,Room Temperature,Regular,Summer,Finger Food,Suburban,High,35,1.5,Medium
Dairy Products,250,Corporate,350,Room Temperature,Regular,All Seasons,Buffet,Urban,Low,10,1.4,Medium
Baked Goods,220,Corporate,300,Room Temperature,Regular,Summer,Sit-down Dinner,Urban,Low,15,1.3636363636363635,Medium
Fruits,230,Corporate,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Low,20,2.1739130434782608,High
Vegetables,320,Birthday,400,Refrigerated,Regular,All Seasons,Finger Food,Rural,Moderate,25,1.25,Low
Baked Goods,450,Corporate,500,Room Temperature,Occasional,Summer,Finger Food,Urban,High,30,1.1111111111111112,Low
Fruits,400,Corporate,500,Refrigerated,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,1.25,Low
Fruits,342,Corporate,405,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,29,1.1842105263157894,Low
Dairy Products,400,Wedding,350,Room Temperature,Regular,Winter,Sit-down Dinner,Rural,High,35,0.875,Low
Vegetables,240,Birthday,450,Refrigerated,Regular,All Seasons,Finger Food,Suburban,Moderate,30,1.875,High
Dairy Products,250,Wedding,350,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,35,1.4,Medium
Dairy Products,300,Birthday,400,Room Temperature,Regular,All Seasons,Buffet,Urban,Moderate,30,1.3333333333333333,Medium
Dairy Products,488,Corporate,498,Room Temperature,Regular,Summer,Finger Food,Suburban,High,63,1.0204918032786885,Low
Baked Goods,350,Birthday,450,Room Temperature,Occasional,All Seasons,Finger Food,Rural,High,30,1.2857142857142858,Low
Meat,230,Birthday,500,Refrigerated,Occasional,All Seasons,Sit-down Dinner,Suburban,Moderate,30,2.1739130434782608,High
Meat,220,Social Gathering,300,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Dairy Products,280,Wedding,350,Room Temperature,Regular,Winter,Finger Food,Suburban,Moderate,20,1.25,Low
Fruits,400,Wedding,500,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,50,1.25,Low
Dairy Products,400,Corporate,500,Room Temperature,Regular,All Seasons,Finger Food,Urban,High,40,1.25,Low
Baked Goods,380,Birthday,400,Room Temperature,Regular,All Seasons,Finger Food,Rural,Moderate,25,1.0526315789473684,Low
Fruits,250,Social Gathering,350,Refrigerated,Regular,Winter,Sit-down Dinner,Suburban,Moderate,20,1.4,Medium
Dairy Products,300,Corporate,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20,1.3333333333333333,Medium
Dairy Products,220,Corporate,300,Room Temperature,Regular,Summer,Finger Food,Suburban,Moderate,15,1.3636363636363635,Medium
Baked Goods,350,Corporate,450,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Moderate,25,1.2857142857142858,Low
Vegetables,320,Social Gathering,400,Refrigerated,Occasional,Summer,Finger Food,Suburban,Moderate,25,1.25,Low
Baked Goods,320,Corporate,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,1.25,Low
Dairy Products,220,Corporate,300,Room Temperature,Regular,All Seasons,Finger Food,Urban,Moderate,15,1.3636363636363635,Medium
Dairy Products,250,Birthday,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,1.4,Medium
Dairy Products,280,Corporate,480,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,Low,15,1.7142857142857142,Medium
Dairy Products,450,Social Gathering,500,Room Temperature,Regular,All Seasons,Finger Food,Rural,High,30,1.1111111111111112,Low
Dairy Products,350,Wedding,450,Room Temperature,Occasional,All Seasons,Sit-down Dinner,Suburban,High,40,1.2857142857142858,Low
Vegetables,300,Social Gathering,400,Room Temperature,Occasional,Winter,Sit-down Dinner,Suburban,High,40,1.3333333333333333,Medium
Dairy Products,300,Social Gathering,400,Room Temperature,Regular,Winter,Sit-down Dinner,Suburban,Low,20,1.3333333333333333,Medium
Baked Goods,220,Social Gathering,450,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,30,2.0454545454545454,High
Dairy Products,280,Social Gathering,350,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,20,1.25,Low
Dairy Products,350,Social Gathering,450,Room Temperature,Regular,All Seasons,Sit-down Dinner,Urban,Moderate,25,1.2857142857142858,Low
Dairy Products,247,Social Gathering,348,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,16,1.408906882591093,Medium
Dairy Products,400,Social Gathering,500,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,40,1.25,Low
Dairy Products,320,Social Gathering,400,Room Temperature,Regular,All Seasons,Finger Food,Suburban,Moderate,25,1.25,Low
Dairy Products,400,Social Gathering,350,Room Temperature,Regular,All Seasons,Sit-down Dinner,Suburban,High,35,0.875,Low
Meat,320,Birthday,400,Refrigerated,Regular,Winter,Buffet,Rural,High,30,1.25,Low
